P_t,P_x,T_t,T_p
        1.6130580902,2.542600,        1.3320610523,-0.134800
        2.7071369886,2.971100,        2.4108570814,-0.235100
        3.7502490282,2.759400,        3.5526050329,0.061700
        4.8070850372,2.720400,        4.5940015316,0.067700
        5.8290045261,2.906200,        5.5543670654,-0.302900
        6.8734620810,2.798800,        6.6381311417,0.127300
        7.8941224813,2.961200,        7.6132290363,-0.122700
        8.9350910187,2.852800,        8.7521820068,0.117000
        9.9753384590,2.964300,        9.7733725309,0.104600
       11.0279805660,2.756700,       10.7539355755,-0.184000
       12.2314310074,2.897500,       11.9115270376,0.025100
       13.1145150661,2.921400,       12.8412470818,-0.002900
       14.1361654997,2.882800,       13.8619590998,-0.171600
       15.1698834896,2.922700,       14.8961130381,-0.459800
       16.2139129639,2.800600,       15.9402055740,-0.266100
       17.2549995184,2.731400,       16.9816504717,-0.304900
       18.2985490561,2.896500,       18.0170900822,-0.188000
       19.3330041170,2.633800,       19.0584169626,0.008400
       20.3751565218,2.961200,       20.1016610861,-0.157500
       21.4163920879,2.840700,       21.2179135084,0.108200
       22.5181790590,2.953500,       22.2216305733,-0.197400
       23.1802065372,2.536700,       22.6939290762,0.237700
       23.5375856161,3.259100,       23.2793531418,-0.459000
