S_t,S_x
        1.4270625114,0.184800
        1.6246984005,3.219400
        2.3346054554,0.208000
        2.5476495028,3.290800
        3.2957735062,0.429400
        3.6469379663,3.347500
        4.2337729931,0.349200
        4.5906440020,4.038900
        5.1994678974,0.350800
        6.0392284393,3.067700
        6.4715244770,3.341300
        7.2775629759,2.945600
        8.0610420704,0.224700
        8.3955304623,3.382000
        9.0284264088,0.262600
        9.8486144543,2.876600
        9.9855504036,0.228000
       10.1688264608,3.014500
       10.9547150135,0.286700
       11.1296389103,3.004600
       11.9138799906,0.214800
       12.0888869762,3.099800
       12.8962105513,0.266200
       13.7415030003,2.867400
       13.8781105280,0.300100
       14.0557664633,3.103500
       14.8401879072,0.212800
       15.1922580004,2.995200
       15.8182045221,0.093900
       15.9953089952,2.837200
