S_t,S_x
        2.5601278543,-4.033813
        3.3186889887,4.940369
        3.3880720139,-4.814941
        4.1980649233,4.358459
        4.2567939758,-5.409302
        5.0557054281,4.034180
        5.1147009134,-4.753784
        5.9418379068,5.184631
        6.0005319118,-5.958435
        6.7793430090,5.422302
        6.8379490376,-5.570435
        7.7049344778,-4.892944
        8.5528068542,4.305908
        8.6116589308,-5.700256
        9.4972333908,-5.429260
       10.3549139500,-5.208252
       11.1755675077,4.795715
       11.2341929674,-5.961914
       12.0314993858,5.187744
       12.0915974379,-5.728638
       12.9290609360,4.913269
       13.0060974360,3.605713
       13.8643894196,-4.442505
       14.7036614418,3.933838
       14.7622823715,-4.641174
       15.5803635120,4.213989
       15.6494255066,-4.156677
       17.3360569477,3.853271
